,0
1703,stabbing
1704,black
1705,sympathy
1706,devil
1707,staff
1708,manipulative
1709,maysles
1710,mick
1711,jagger
1712,editing
1713,camera
1714,roll
1715,document
1716,capturing
1717,relaxed
1718,intoxicating
1719,electrifying
1720,primary
1721,elections
1722,kennedy
1723,hubert
1724,humphrey
1725,1960
1726,light
1727,equipment
1728,subjects
1729,intimate
1730,filmmaking
1731,style
1732,unconventional
1733,filming
1734,created
1735,lens
1736,right
1737,occuring
1738,1930s
1739,convicts
1740,hidden
1741,treasure
1742,relentless
1743,lawman
1744,pursues
1745,comical
1746,characters
1747,incredible
1748,situations
1749,odyssey
1750,wildly
1751,entertaining
1752,vision
1753,twentieth
1754,greatest
1755,artists
1756,bob
1757,dylan
1758,surrounded
1759,teen
1760,fans
1761,heated
1762,philosophical
1763,jousts
1764,journalists
1765,kicks
1766,musicians
1767,joan
1768,baez
1769,donovan
1770,alan
1771,price
1772,circus
1773,trapeze
1774,artist
1775,marry
1776,performers
1777,deformed
1778,marrying
1779,inheritance
1780,narcissistic
1781,weatherman
1782,distant
1783,producer
1784,mawkish
1785,cameraman
1786,report
1787,groundhog
1788,punxsutawney
1789,repeating
1790,vampire
1791,count
1792,dracula
1793,original
1794,1931
1795,bela
1796,lugosi
1797,kresten
1798,newly
1799,wed
1800,threshold
1801,career
1802,company
1803,poverty
1804,stricken
1805,plans
1806,fall
1807,apart
1808,thing
1809,backward
1810,stunning
1811,housekeeper
1812,disguise
1813,real
1814,profession
1815,ignacio
1816,enrique
1817,fear
1818,religious
1819,beginning
1820,1960s
1821,manolo
1822,literature
1823,witness
1824,discoveries
1825,followed
1826,decades
1827,reunion
1828,marking
1829,narrowly
1830,bizarre
1831,troubled
1832,plagued
1833,visions
1834,bunny
1835,manipulates
1836,crimes
1837,brokeback
1838,mountain
1839,ang
1840,modern
1841,cowboys
1842,shepherding
1843,63
1844,raw
1845,turns
1846,relationship
1847,conflicting
1848,supposed
1849,soldier
1850,profound
1851,disillusionment
1852,soul
1853,destroying
1854,horror
1855,german
1856,soldiers
1857,experiences
1858,horrors
1859,conceived
1860,signing
1861,sad
1862,confused
1863,purpose
1864,wings
1865,desire
1866,wim
1867,wender
1868,artistically
1869,lonely
1870,immortal
1871,post
1872,berlin
1873,poetic
1874,mortal
1875,giving
1876,heavenly
1877,feeling
1878,celebrating
1879,conservative
1880,scottish
1881,paralytic
1882,convinces
1883,extramarital
1884,intercourse
1885,reason
1886,warriors
1887,pursuit
1888,sword
1889,notorious
1890,fugitive
1891,impetuous
1892,physically
1893,skilled
1894,nobleman
1895,crossroads
1896,parisian
1897,antoine
1898,doinel
1899,situation
1900,inconsiderate
1901,adults
1902,including
1903,neglectful
1904,spends
1905,best
1906,rene
1907,better
1908,schemes
1909,awry
1910,conflicts
1911,unsympathetic
1912,authority
1913,figures
1914,touching
1915,deaf
1916,oil
1917,rig
1918,blinded
1919,special
1920,communicate
1921,board
1922,especially
1923,moments
1924,change
1925,forever
1926,tetsuo
1927,kaneda
1928,pulled
1929,apocalyptic
1930,underworld
1931,neo
1932,tokyo
1933,bike
1934,member
1935,motorcycle
1936,covert
1937,project
1938,akira
1939,bloody
1940,ensues
1941,nosed
1942,teams
1943,criminal
1944,temporarily
1945,entity
1946,spotted
1947,approaching
1948,admiral
1949,kirk
1950,resumes
1951,command
1952,starship
1953,enterprise
1954,intercept
1955,examine
1956,hopefully
1957,souls
1958,visiting
1959,neglected
1960,photographer
1961,washed
1962,movie
1963,shooting
1964,commercial
1965,solace
1966,pensive
1967,america
1968,prospect
1969,accompanying
1970,ship
1971,cadet
1972,cruise
1973,making
1974,feel
1975,younger
1976,khan
1977,exile
1978,captures
1979,creation
1980,batman
1981,raises
1982,lt
1983,jim
1984,gordon
1985,district
1986,attorney
1987,harvey
1988,dent
1989,dismantle
1990,remaining
1991,organizations
1992,plague
1993,streets
1994,partnership
1995,unleashed
1996,rising
1997,terrified
1998,citizens
1999,gotham
2000,joker
2001,close
2002,wilbur
2003,harbour
2004,prevent
2005,bookstore
2006,bit
2007,bridge
2008,risk
2009,careers
2010,stealing
2011,decommissioned
2012,restricted
2013,genesis
2014,recover
2015,spock
2016,martin
2017,rudi
2018,terminal
2019,cancer
2020,drown
2021,desperation
2022,tequila
2023,drunk
2024,pajamas
2025,fancy
2026,60
2027,mercedes
2028,convertible
2029,bunch
2030,gangsters
2031,immediately
2032,contains
2033,pistol
2034,glove
2035,box
2036,der
2037,bewegte
2038,mann
2039,heterosexual
2040,thrown
2041,girlfriends
2042,moving
2043,gay
2044,advantages
2045,attracted
2046,decision
2047,platform
2048,railway
2049,ciotat
2050,waiting
2051,seen
2052,distance
2053,stops
2054,doors
2055,cars
2056,open
2057,attendants
2058,passengers
2059,popular
2060,fled
2061,café
2062,terror
2063,fearing
2064,identified
2065,promotional
2066,embellishment
2067,suggest
2068,astounded
2069,capabilities
2070,lumières
2071,cinématographe
2072,24
2073,hours
2074,parole
2075,charismatic
2076,ocean
2077,hand
2078,picked
2079,specialists
2080,attempt
2081,150
2082,million
2083,vegas
2084,casinos
2085,score
2086,risks
2087,chances
2088,reconciling
2089,tess
2090,castaway
2091,unfinished
2092,experiment
2093,reunites
2094,flame
2095,thieves
2096,carrying
2097,huge
2098,heists
2099,rome
2100,paris
2101,amsterdam
2102,europol
2103,hot
2104,heels
2105,fortune
2106,holly
2107,golightly
2108,captivated
2109,aspiring
2110,writer
2111,paul
2112,varjak
2113,moved
2114,building
2115,wealthy
2116,dime
2117,blooms
2118,scene
2119,revealing
2120,wacky
2121,sequel
2122,blockbuster
2123,2015
2124,nip
2125,woes
2126,bud
2127,bully
2128,biff
2129,tannen
2130,pesky
2131,sports
2132,almanac
2133,ditch
2134,straight
2135,face
2136,le
2137,boum
2138,13
2139,dealing
2140,divorce
2141,prot
2142,claims
2143,begin
2144,doubt
2145,explanations
2146,federation
2147,daring
2148,doomed
2149,shatner
2150,near
2151,mercy
2152,presence
2153,signals
2154,slowly
2155,answer
2156,probe
2157,race
2158,ve
2159,encountered
2160,reaches
2161,galaxy
2162,mercenaries
2163,battled
2164,creature
2165,returned
2166,drawn
2167,ravaged
2168,dealers
2169,harrigan
2170,capture
2171,ignoring
2172,warnings
2173,research
2174,facility
2175,infected
2176,carried
2177,humans
2178,infects
2179,homicidal
2180,maniacs
2181,absolutely
2182,impossible
2183,contain
2184,thinking
2185,capt
2186,mr
2187,kidnaps
2188,diplomats
2189,hijacks
2190,obsessive
2191,sinkings
2192,submarine
2193,nautilus
2194,commanded
2195,eve
2196,mccoy
2197,charged
2198,klingon
2199,chancellor
2200,imprisoned
2201,escape
2202,thwart
2203,conspiracy
2204,aimed
2205,sabotaging
2206,hope
2207,fantasy
2208,adventure
2209,jacques
2210,jean
2211,marc
